"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(5.0.0)","HRV.CPI._T.SRP_IX.A","OBS_VALUE","Croatia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","0.108485967645282","0.2410799281006258","1.747829478729539","27.96527165967267","57.97972270820055","60.26998202515654","62.86159125223824","65.48333547033254","69.67209922108093","72.47231756298083","75.81424481030773","78.67752326413743","79.99284180386543","81.40658554044383","83.07981388690042","85.83571939871153","88.57372942018612","91.14173228346454","96.68038654259127","98.9799570508232","100","102.2727272727273","105.7623478883321","108.1066571224051","107.8740157480314","107.3729420186113","106.1649964209019","107.3639942734431","108.9745884037223","109.8156764495347","109.9856836077309","112.7952755905512","124.9552612741589","134.8783106657123","138.8869005010737"
"IMF.STA:CPI(5.0.0)","LTU.CPI._T.SRP_IX.A","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","0.3728754061606457","4.178518484171558","21.32932526278186","36.7407613223404","51.30760207525902","63.94219933439383","69.6209370594386","73.14901554166212","73.68121166255607","74.40447784124555","75.42167656800716","75.63399357317956","74.7760707174463","75.64654084180776","77.65759266256531","80.56130327286396","85.18324527972915","94.49026922994471","98.69796302851777","99.99999999999995","104.1302756264508","107.3478832022387","108.4723301336153","108.5848788641483","107.6248827673444","108.5994530682375","112.6424897511954","115.6815027878882","118.3820983212579","119.8025585486137","125.4135643417925","150.1263650760095","163.8138656197394","164.9863401590533"
"IMF.STA:CPI(5.0.0)","EST.CPI._T.SRP_IX.A","OBS_VALUE","Estonia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","11.63777857283556","22.08989433263042","32.61676513485707","42.00276564595222","51.68454734363717","57.15374357020401","61.84511335492472","63.88359687559534","66.45075252429035","70.27052771956562","72.78052962469043","73.75214326538383","76.00019051247856","79.10078110116211","82.61097351876549","88.06439321775579","97.18994094113163","97.11373594970471","100","104.9819013145361","109.1112592874834","112.1451705086683","112.0261002095637","111.4745665841112","111.6403124404648","115.4553248237759","119.4227471899409","122.1423128214898","121.5993522575729","127.257572871023","151.94333206325","165.8601638407315","171.6993713088208"
"IMF.STA:CPI(5.0.0)","BIH.CPI._T.SRP_IX.A","OBS_VALUE","Bosnia and Herzegovina","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","","","","","","","","","","","","85.04970120560149","90.25947691860346","91.61407048429739","98.41828698788085","98.04285637561994","100","103.67125","105.7992833333333","105.7008416666667","104.7525","103.6672399710423","102.025047222661","102.8515861269501","104.3091043262597","104.896137350469","103.7933684463403","105.8501783209858","120.6912667846069","128.0605562051884","130.2275038833665"
"IMF.STA:CPI(5.0.0)","MKD.CPI._T.SRP_IX.A","OBS_VALUE","North Macedonia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","27.59156585944253","62.51789930103832","72.75432316674229","74.54888136441759","75.51381589693243","75.92476182065045","74.95346653502673","79.90595905499011","84.06017818011642","86.00583333333326","86.74166666666659","86.35249999999991","86.80629616134046","89.59592872560891","91.61341220317969","99.2465470435175","98.51248587441818","100","103.9047542206973","107.3502937111868","110.3399999999999","110.0291666666666","109.6991666666665","109.4366666666666","110.9158333333333","112.5333333333332","113.3958333333332","114.7566666666666","118.4641666666666","135.2916666666666","147.9574999999999","153.1208333333331"
"IMF.STA:CPI(5.0.0)","KOS.CPI._T.SRP_IX.A","OBS_VALUE","Kosovo, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","","","","","","","","","89.35962603693667","88.39024153357742","87.44912679660805","86.23779099654846","86.77388558419626","90.55592274362933","99.02327972387461","96.63655724462073","100","107.3364177131527","109.9948593669677","111.9388252272156","112.418995558574","111.8153849283962","112.1208303792264","113.789451041016","114.9885617005188","118.0656464428955","118.2996855216097","122.2670918918056","136.426245250384","143.1716013658125","145.4901937862383"
"IMF.STA:CPI(5.0.0)","SVN.CPI._T.SRP_IX.A","OBS_VALUE","Slovenia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","3.720053502847305","7.991900145676068","24.76959431421888","32.63694521696907","39.48803337306317","44.80459541782546","49.22432260627732","53.33931841257231","57.54841301372886","61.09085595726834","66.53511676157686","72.11053723568625","77.50496622963847","81.80196883415003","84.74109389484837","86.81852293294486","88.95245662826119","92.20588884474462","97.41314616165629","98.23069792080522","100","101.8028517194191","104.4470931002516","106.2949719683928","106.5068644329669","105.9471151723833","105.8888447446254","107.4021100957931","109.2694124398535","111.0510749128152","110.9901558292501","113.1179093276829","123.1104048028959","132.2782854368074","134.8783825541871"
"IMF.STA:CPI(5.0.0)","POL.CPI._T.SRP_IX.A","OBS_VALUE","Poland, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","6.98370529558457","12.34506087721873","18.0359564324483","24.70279741821917","32.85256564471177","42.03531392107968","50.35619040633713","57.86588895408542","64.57709109578996","69.19698327710139","76.04760598503745","80.16051562270797","81.6877996186006","82.24548335044747","85.02755757664665","86.88438829397099","88.00058676837322","90.16429514449179","93.91961273287372","97.48423059997069","100","104.2394014962594","107.9507114566525","109.0215637377146","109.080240575033","108.126741968608","107.4079507114568","109.6376705295585","111.6253483937216","114.1117793750917","117.9624468241162","123.9254804166056","141.8072465894089","158.1560803872672","164.141117793751"
"IMF.STA:CPI(5.0.0)","ALB.CPI._T.SRP_IX.A","OBS_VALUE","Albania","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","5.114499742529291","16.6735464306431","30.84685309668301","37.80746175219584","40.75387987017446","45.94000580924195","61.18302578482111","73.81295144817842","74.10040687432279","74.13747051686674","76.44135785455664","82.38125331474654","82.77998073243871","84.66738016154822","86.67110310374495","88.72583948945223","91.32788664083254","94.36076785542801","96.4998529504904","99.99999999999997","103.428071301415","105.5293084311282","107.5740662635516","109.3230754033681","111.3960311635077","112.8168114393227","115.0580994078581","117.3915462738126","119.0480475709839","120.9776814420642","123.4474064890239","131.7494948221919","138.0185910481879","141.0769087785867"
"IMF.STA:CPI(5.0.0)","MDA.CPI._T.SRP_IX.A","OBS_VALUE","Moldova, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","0.0100141858847122","0.1128424766994547","1.933673181739618","11.3395550181904","14.7261823421022","18.18767124150687","20.32887530322569","21.89333780931548","30.48778227195615","40.03024519085168","43.93906367479955","46.26838060872637","51.70310124227912","58.17854077818711","65.13621935675288","73.45916639246076","82.54398406054012","93.09562055483933","93.03723228802799","99.99999999999999","107.6872510335618","112.5830734355477","117.7595068969087","123.7520356632241","135.7265800485256","144.3578526423132","153.8424955472438","158.5270825706378","166.1962796369208","172.4551837008356","181.2614546715743","233.3510984735225","264.6598397132059","277.0399260900568"
