ISO code,Country,Variable code,Variable name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BHR,Bahrain,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.27832508087158,2.29932284355164,2.32051396369934,2.34190058708191,2.33037757873535,2.31891107559204,2.30750107765198,2.29614734649658,2.28484916687012,2.28080487251282,2.27676749229431,2.27273750305176,2.268714427948,2.26469850540161,2.30664491653442,2.34936833381653,2.39288306236267,2.43720364570618,2.48234534263611,2.52832293510437,2.5783224105835,2.71675133705139,2.75606608390808,2.79594969749451,2.80802702903748,2.82015657424927,2.81691694259644
BLZ,Belize,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.83840155601501,2.87630391120911,2.91471219062805,2.95363330841064,2.98325705528259,3.0131778717041,3.04339909553528,3.07392311096191,3.10475325584412,3.13652086257935,3.16861343383789,3.20103430747986,3.23378705978394,3.26687455177307,3.19089961051941,3.11669135093689,3.04420876502991,2.97341203689575,2.90426158905029,2.90106010437012,2.89786219596863,2.89466762542725,2.89147663116455,2.88828921318054,2.86932563781738,2.89482998847961,2.9209086894989
BOL,Bolivia (Plurinational State of),hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.38829016685486,2.42192125320435,2.45602583885193,2.4906108379364,2.51987934112549,2.54949164390564,2.57307386398315,2.59339308738709,2.61387252807617,2.63451361656189,2.65531778335571,2.67628622055054,2.69742035865784,2.71872138977051,2.7451503276825,2.77183604240418,2.7987813949585,2.82598876953125,2.85346055030823,2.88119912147522,2.90920758247376,2.93748831748962,2.96604371070862,2.99487709999084,3.02450704574585,3.05485272407532,3.08593535423279
BRA,Brazil,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.932581782341,1.96940386295319,2.0069272518158,2.04516577720642,2.08590292930603,2.12745189666748,2.16982817649841,2.21304869651794,2.25713014602661,2.29880857467651,2.34125638008118,2.38448834419251,2.42851853370667,2.47336173057556,2.5608959197998,2.62187433242798,2.68430471420288,2.74822163581848,2.81366038322449,2.8806574344635,2.94924998283386,3.01947546005249,3.09137320518494,3.16498303413391,3.22658061981201,3.29099345207214,3.35838437080383
BRB,Barbados,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.68411016464233,2.68323087692261,2.68235182762146,2.68147325515747,2.69999504089355,2.7186450958252,2.73742389678955,2.75633239746094,2.77537131309509,2.78029942512512,2.785236120224,2.79018187522888,2.79513621330261,2.80009937286377,2.80511355400085,2.81015086174011,2.81521153450012,2.82029557228088,2.82540321350098,2.83053469657898,2.83569002151489,2.84086918830872,2.84607243537903,2.85130000114441,2.85655212402344,2.86182856559753,2.86712980270386
BRN,Brunei Darussalam,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.58694696426392,2.59504699707031,2.60317277908325,2.61132383346558,2.61798334121704,2.6246600151062,2.63135361671448,2.63806438446045,2.64479231834412,2.65514659881592,2.66554164886475,2.6759774684906,2.68645405769348,2.69697141647339,2.72146034240723,2.73249530792236,2.74364900588989,2.75492358207703,2.76632022857666,2.77784085273743,2.78948664665222,2.80125975608826,2.81316184997559,2.82519459724426,2.83735990524292,2.84965920448303,2.86209464073181
BWA,Botswana,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.33044576644897,2.37315845489502,2.41665434837341,2.46094727516174,2.494708776474,2.52893304824829,2.56243538856506,2.58605027198792,2.60988306999207,2.6307475566864,2.65177893638611,2.67297863960266,2.69434762001038,2.71588730812073,2.73850703239441,2.76163005828857,2.78527045249939,2.80944228172302,2.83416080474854,2.85944128036499,2.88529968261719,2.91175222396851,2.93881607055664,2.96650910377502,2.99484920501709,3.02385544776917,3.05354738235474
CAF,Central African Republic,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.35271322727203,1.36750674247742,1.38246190547943,1.397580742836,1.40450119972229,1.41145586967468,1.41844499111176,1.42546880245209,1.43252730369568,1.4396208524704,1.44674944877625,1.4539133310318,1.46111273765564,1.46834778785706,1.47843062877655,1.48858284950256,1.49880468845367,1.50909674167633,1.51945948600769,1.52989339828491,1.54039895534515,1.55097663402557,1.56162703037262,1.57235038280487,1.58224356174469,1.59233725070953,1.60263669490814
CAN,Canada,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.43863916397095,3.46032452583313,3.48214673995972,3.50410676002502,3.51891613006592,3.53378772735596,3.54872250556946,3.56372046470642,3.57878160476685,3.59390640258789,3.60909533500671,3.62434840202332,3.6396656036377,3.65504789352417,3.66232514381409,3.66961669921875,3.67692279815674,3.68424344062805,3.69157862663269,3.69892859458923,3.7062931060791,3.7136721611023,3.72106599807739,3.72847461700439,3.73541975021362,3.75202083587647,3.76877570152283
CHE,Switzerland,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.50874423980713,3.51529979705811,3.5218677520752,3.52844762802124,3.53894829750061,3.54948043823242,3.56004357337952,3.57063841819763,3.58126473426819,3.59192276000977,3.60261249542236,3.6133337020874,3.62408709526062,3.63487243652344,3.64234471321106,3.64983224868774,3.65733528137207,3.66485381126404,3.67238759994507,3.67993688583374,3.68750190734863,3.69508242607117,3.70267844200134,3.71028995513916,3.72179746627808,3.73337984085083,3.74503779411316
